error_model,detection_outcome,avg_err,diff_vals_count
RANDOM_VALUE,TRUE_POSITIVE,4.42898394376456259791e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.12086035005249570664e-06,6625814
RANDOM_VALUE,TRUE_POSITIVE,2.11083396302783366807e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.03627376573517726367e-08,7420133
RANDOM_VALUE,TRUE_POSITIVE,4.50570344604006422354e+112,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.18772366296092861355e-06,6620569
RANDOM_VALUE,TRUE_POSITIVE,3.52906110881372225060e-04,2048
RANDOM_VALUE,TRUE_POSITIVE,5.81850774017751036277e+60,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.30001698475476839067e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.13791492979796321983e+128,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.53713715430751358565e+52,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.47344598873589699821e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.81501671635949007314e+235,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.40987091382011746503e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.83070015898891503462e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.18456707243616239186e+181,8192
RANDOM_VALUE,TRUE_POSITIVE,6.89996617142968066406e+12,8192
RANDOM_VALUE,TRUE_POSITIVE,1.39336841776275917131e+178,16384
RANDOM_VALUE,TRUE_POSITIVE,6.29249315857581320230e-04,512
RANDOM_VALUE,TRUE_POSITIVE,5.24587383532755849818e+287,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.67288713912646704258e+284,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.21605779076896935347e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.39518141270950234030e+22,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.29883216945212994419e-06,8444752
RANDOM_VALUE,TRUE_POSITIVE,4.18392550923722812500e+13,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.70578214140174354838e-07,7466251
RANDOM_VALUE,TRUE_POSITIVE,1.61942233120575812450e+75,64
RANDOM_VALUE,TRUE_POSITIVE,8.77604907820494123913e+195,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.33420669604797620150e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.83546764181806828749e+21,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.06647946867061690698e-07,7491353
RANDOM_VALUE,TRUE_POSITIVE,5.18677277592179092337e+177,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.23614682224514689620e+115,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.35987522408135066362e+149,1
RANDOM_VALUE,TRUE_POSITIVE,2.38281530963917491037e-04,1024
