==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 1.71315669210832972792e+152; MIN: 4.62594846570873060331e+145; AVG: 2.47517059892602084770e+151
    * MAX: 6.65957036982689487559e-05; MIN: 3.28603666610582934027e-07; AVG: 1.75507535863082062141e-05
    * MAX: 1.89562768004285064904e-01; MIN: 1.76499240260471257358e-01; AVG: 1.83031004132378161131e-01
    * MAX: 6.00258037228851293321e-05; MIN: 4.40318517873627968129e-05; AVG: 5.16075084431482158931e-05
    * MAX: 2.14532382680765465466e-06; MIN: 7.49365707264360025874e-08; AVG: 4.59254001689824209107e-07
    * MAX: 2.53354335377764527948e-06; MIN: 2.53354335377764527948e-06; AVG: 2.53354335377764527948e-06
    * MAX: 1.14831011914706682120e-03; MIN: 1.11022302462515654042e-16; AVG: 4.03303421377918294722e-07
    * MAX: 5.47363831149283441846e-07; MIN: 1.11022302462515654042e-16; AVG: 3.00353554587245319743e-11
    * MAX: 1.97522926825177691512e-04; MIN: 2.01872707439321175116e-07; AVG: 2.88808811889008032958e-05
    * MAX: 5.23258934648218598795e-06; MIN: 3.15790845206720405258e-06; AVG: 3.90809298610315217801e-06
    * MAX: 4.31265462786933895245e-04; MIN: 3.23271167539607162666e-04; AVG: 3.74358472189411793825e-04
    * MAX: 1.28149346978467804092e-06; MIN: 7.82685371403246676891e-07; AVG: 9.79623102450325552206e-07
    * MAX: 1.39788189882900724070e+112; MIN: 1.00000000000000000000e+00; AVG: 1.67543707803382417341e+110
    * MAX: 1.89607098805205460993e+304; MIN: 1.21201210173978030193e+304; AVG: 1.50629139073679447427e+304
    * MAX: 8.22627677643517074557e-06; MIN: 4.50525620843134078086e-06; AVG: 5.79939192808962059023e-06
    * MAX: 1.93168988653624751350e-05; MIN: 1.11022302462515654042e-16; AVG: 6.86080405444536416688e-08
    * MAX: 2.65958946583655375662e-05; MIN: 2.20168452358393551549e-08; AVG: 9.23568782923943095277e-06
    * MAX: 6.47843183732010885478e-06; MIN: 1.11022302462515654042e-16; AVG: 7.08615179510255841457e-10
    * MAX: 1.57991472317098313738e-05; MIN: 9.39888805784327985293e-06; AVG: 1.17449156120683143441e-05
    * MAX: 5.41330968730768802288e-05; MIN: 1.11022302462515654042e-16; AVG: 6.91731392054972133723e-06
    * MAX: 3.76570473576975928154e-05; MIN: 1.11022302462515654042e-16; AVG: 1.39024078577233663433e-07
    * MAX: 1.56243877091899463494e-06; MIN: 4.21407736483914163728e-08; AVG: 3.33854153556449525318e-07
    * MAX: 5.68144486598008645207e+25; MIN: 1.00000000000000000000e+00; AVG: 8.88413883962375033324e+22
    * MAX: 3.77385356309378749984e-06; MIN: 1.11022302462515654042e-16; AVG: 4.52943422575006361076e-07
    * MAX: 1.00000000000000000000e+00; MIN: 1.00000000000000000000e+00; AVG: 1.00000000000000000000e+00
    * MAX: 4.07338463238112735709e-02; MIN: 3.88953015520012712614e-02; AVG: 3.98145739379062724161e-02
    * MAX: 1.20472066001298117044e-04; MIN: 1.17676788619958117010e-04; AVG: 1.18814258716348764011e-04
    * MAX: 7.33073492238611734706e-04; MIN: 6.04531136197516971720e-04; AVG: 6.49727775440336191570e-04
    * MAX: 1.08811330797074242357e+153; MIN: 2.98678051954168657592e+149; AVG: 4.30247386786109353664e+152
    * MAX: 4.58065470665403040584e-07; MIN: 2.66766595702350173269e-07; AVG: 3.44255188134298028280e-07
    * MAX: 1.71285720407254871134e-05; MIN: 1.34640202869018565934e-05; AVG: 1.54889131683394725564e-05
