==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 1.39041507878356895844e-05; MIN: 1.57050678084580397353e-06; AVG: 4.42898394376456259791e-06
    * MAX: 5.09369041471807726396e-04; MIN: 1.11022302462515654042e-16; AVG: 8.12086035005249570664e-06
    * MAX: 5.75897796080138135721e-05; MIN: 4.94372287551669842287e-08; AVG: 2.11083396302783366807e-05
    * MAX: 1.68418979482387598523e-04; MIN: 1.11022302462515654042e-16; AVG: 1.03627376573517726367e-08
    * MAX: 2.50279400054114218670e+113; MIN: 3.60724672970499711294e+109; AVG: 4.50570344604006422354e+112
    * MAX: 1.40285436892484405291e-04; MIN: 1.11022302462515654042e-16; AVG: 4.18772366296092861355e-06
    * MAX: 4.12246167036722788168e-04; MIN: 3.01799813775316394526e-04; AVG: 3.52906110881372225060e-04
    * MAX: 4.12497443957819358953e+61; MIN: 2.91735753185421581420e+56; AVG: 5.81850774017751036277e+60
    * MAX: 3.45949612379214954672e-06; MIN: 1.70621342243659768201e-06; AVG: 2.30001698475476839067e-06
    * MAX: 5.69126452302890207009e+128; MIN: 1.16752874733823555278e+127; AVG: 2.13791492979796321983e+128
    * MAX: 1.09750542036517937403e+57; MIN: 1.00000000000000000000e+00; AVG: 1.53713715430751358565e+52
    * MAX: 6.81958571668861424087e-06; MIN: 5.76335579260955910286e-09; AVG: 2.47344598873589699821e-06
    * MAX: 3.52786936132095333469e+238; MIN: 1.00000000000000000000e+00; AVG: 2.81501671635949007314e+235
    * MAX: 1.18854741322227397404e-05; MIN: 1.07653652658967757816e-09; AVG: 2.40987091382011746503e-06
    * MAX: 4.48471133063232940685e-06; MIN: 1.02700182913473270219e-07; AVG: 1.83070015898891503462e-06
    * MAX: 2.72594817397302525006e+181; MIN: 1.79927927751406647112e+181; AVG: 2.18456707243616239186e+181
    * MAX: 8.35687619325020019531e+12; MIN: 5.71403566522695410156e+12; AVG: 6.89996617142968066406e+12
    * MAX: 1.76787837151882847386e+178; MIN: 1.13243197405702689143e+178; AVG: 1.39336841776275917131e+178
    * MAX: 6.86912276036011348879e-04; MIN: 5.72619432046561627203e-04; AVG: 6.29249315857581320230e-04
    * MAX: 8.54565474565424665022e+287; MIN: 2.84986647490653057492e+287; AVG: 5.24587383532755849818e+287
    * MAX: 1.30876553428348860199e+289; MIN: 1.00000000000000000000e+00; AVG: 3.67288713912646704258e+284
    * MAX: 1.73328036748854330540e-05; MIN: 5.11755258392199152695e-07; AVG: 7.21605779076896935347e-06
    * MAX: 1.33263261289263895937e+23; MIN: 6.76550964258814361600e+19; AVG: 3.39518141270950234030e+22
    * MAX: 6.84907419817859519640e-05; MIN: 1.11022302462515654042e-16; AVG: 6.29883216945212994419e-06
    * MAX: 7.93195416712278912000e+17; MIN: 7.19732973220033045436e-09; AVG: 4.18392550923722812500e+13
