==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 6.46988561103789550089e-06; MIN: 8.37197311476245431550e-10; AVG: 1.18910875211350364340e-06
    * MAX: 7.67636759365073293447e+07; MIN: 1.11022302462515654042e-16; AVG: 1.54259967913931996009e+04
    * MAX: 6.36567345398963979619e-05; MIN: 5.73021027814313299587e-05; AVG: 6.06082543622068342648e-05
    * MAX: 4.75568317670482798576e-06; MIN: 2.85367777119738263991e-06; AVG: 3.58009919526259247032e-06
    * MAX: 1.24060218809063371737e-06; MIN: 1.11022302462515654042e-16; AVG: 5.46735147263055044120e-09
    * MAX: 1.61014708601747713601e-05; MIN: 1.44002251325492380829e-05; AVG: 1.52153113979272558431e-05
    * MAX: 5.15058762307063489061e-07; MIN: 4.50827118969598927833e-07; AVG: 4.76485377987057034943e-07
    * MAX: 4.13810288257820957369e-08; MIN: 1.11022302462515654042e-16; AVG: 1.02658076182128666539e-08
    * MAX: 6.64795845495280701698e-06; MIN: 1.11022302462515654042e-16; AVG: 1.74440436778436610350e-06
    * MAX: 5.34466602028604853558e-04; MIN: 4.37626174931482481156e-04; AVG: 4.83143454700029478799e-04
    * MAX: 5.27529789406955273989e-07; MIN: 1.11022302462515654042e-16; AVG: 3.08572342984965090004e-11
    * MAX: 6.80415445697413190373e-06; MIN: 3.61935125536838597782e-06; AVG: 4.69068402860083765214e-06
    * MAX: 2.72262889726793133605e-03; MIN: 1.11022302462515654042e-16; AVG: 2.87318823254934020716e-07
    * MAX: 5.00287377791508447444e-06; MIN: 1.11022302462515654042e-16; AVG: 6.99148157941715185328e-08
    * MAX: 2.75268987358996408688e-02; MIN: 1.11022302462515654042e-16; AVG: 8.71148474859364369514e-04
    * MAX: 5.05791167747351875000e+14; MIN: 2.95211801685899062500e+13; AVG: 2.10851518651014125000e+14
    * MAX: 1.32420398487154145073e-04; MIN: 8.24587143086752405452e-05; AVG: 1.02784088982650780421e-04
    * MAX: 1.26055935880779013125e-01; MIN: 1.26055935880779013125e-01; AVG: 1.26055935880779013125e-01
    * MAX: 9.15188028948410448038e-04; MIN: 1.11022302462515654042e-16; AVG: 9.97209468942094045272e-05
    * MAX: 5.89029821636000150420e-04; MIN: 4.43556964456304214650e-04; AVG: 5.09000908898928896770e-04
    * MAX: 7.08931519612931992924e-05; MIN: 4.21775476373564828236e-05; AVG: 5.27974057058248002431e-05
    * MAX: 8.25891577548309996359e-05; MIN: 1.45826996034159606097e-07; AVG: 1.70230229085861705057e-05
    * MAX: 1.68127992236088985578e-05; MIN: 9.63466284065184197516e-06; AVG: 1.23108603029079841036e-05
    * MAX: 3.52793556368524718891e-07; MIN: 1.88884335949879300642e-07; AVG: 2.44804515288555049715e-07
    * MAX: 1.69524268499332553262e-03; MIN: 1.56607316758117232069e-03; AVG: 1.62478802460231525062e-03
    * MAX: 3.07052987833511537019e-04; MIN: 1.11022302462515654042e-16; AVG: 1.16457002623177732454e-07
    * MAX: 5.94155837863041824676e-07; MIN: 1.11022302462515654042e-16; AVG: 5.88180887054062695812e-10
    * MAX: 5.51979417749204337440e-04; MIN: 5.03258419646046561979e-04; AVG: 5.24560414767220872800e-04
    * MAX: 5.40451087494009385637e-06; MIN: 2.99705446393794261439e-06; AVG: 3.85181079531119524361e-06
    * MAX: 1.77545381063737295335e-07; MIN: 9.50980938441148282436e-08; AVG: 1.22382725344241865781e-07
    * MAX: 3.08501153781635904443e+73; MIN: 1.00000000000000000000e+00; AVG: 4.88318257702518916478e+70
    * MAX: 2.21117374995602362060e+302; MIN: 1.36439834615359489199e+302; AVG: 1.69127688115334285807e+302
    * MAX: 8.87078463438273345787e-04; MIN: 1.11022302462515654042e-16; AVG: 5.84217017050582668514e-08
    * MAX: 1.26666119781848607317e-06; MIN: 7.89081895047338832683e-07; AVG: 9.83562773719936237144e-07
    * MAX: 2.01537714411115231883e-03; MIN: 2.01537714411115231883e-03; AVG: 2.01537714411115231883e-03
    * MAX: 2.39104071630968917361e-06; MIN: 1.11022302462515654042e-16; AVG: 9.08481736490008590068e-09
    * MAX: 2.09715153089806705111e-03; MIN: 1.35130975298380917593e-08; AVG: 3.27167947430806558152e-04
    * MAX: 2.22927698356745196406e-06; MIN: 1.73529660751903236360e-06; AVG: 1.91575337404100570771e-06
    * MAX: 3.77853329780464264331e-06; MIN: 3.25611648754886573442e-09; AVG: 1.37715451945652788996e-06
    * MAX: 5.30517060171042942329e-07; MIN: 2.98041125113002181024e-09; AVG: 1.13612632425113793931e-07
    * MAX: 1.70186496560831290736e-03; MIN: 1.11022302462515654042e-16; AVG: 8.97354586766740905313e-08
    * MAX: 1.21902041849697440057e-06; MIN: 6.48436644046235244332e-07; AVG: 8.40374750963276704054e-07
    * MAX: 1.27979098474806374242e-03; MIN: 2.58573797484729084317e-07; AVG: 2.32348882542202653722e-04
    * MAX: 3.80770048316270148803e-04; MIN: 2.32035898664495476851e-04; AVG: 2.88316015667788297025e-04
    * MAX: 3.08679315441651169749e-07; MIN: 1.11022302462515654042e-16; AVG: 5.26835467365514634184e-09
    * MAX: 3.61971645424878918362e-02; MIN: 3.31808151289672004225e-02; AVG: 3.48159602795983652568e-02
    * MAX: 2.30053673111463297118e-06; MIN: 1.11022302462515654042e-16; AVG: 2.93995654516939342080e-09
    * MAX: 2.79577785176066129225e-04; MIN: 1.11022302462515654042e-16; AVG: 1.36101553527226003004e-08
    * MAX: 2.58090383409292911665e-06; MIN: 1.62169338868700663170e-06; AVG: 1.96525287786233597976e-06
    * MAX: 2.35128164381981363817e-05; MIN: 1.44915858484306880882e-05; AVG: 1.83220643500303008531e-05
    * MAX: 7.92834390476615524790e-04; MIN: 1.11022302462515654042e-16; AVG: 5.44466991081947308974e-06
    * MAX: 9.22916745452084796852e-04; MIN: 6.52392998175876925870e-04; AVG: 7.64560606653471772597e-04
    * MAX: 2.75910516525633253693e-01; MIN: 2.75910516525633253693e-01; AVG: 2.75910516525633253693e-01
    * MAX: 9.29802898148590628580e-05; MIN: 6.55049778550687022971e-05; AVG: 7.62608576082638150041e-05
    * MAX: 1.51086016904056208432e-05; MIN: 2.59114928824466517199e-06; AVG: 5.86819420036191104759e-06
    * MAX: 6.74039841053186705722e-07; MIN: 3.86871550128731200857e-07; AVG: 4.89285156877497718355e-07
    * MAX: 2.55970763043794086763e+304; MIN: 1.53681807533435682960e+304; AVG: 
    * MAX: 1.46367858564255826082e-04; MIN: 8.28187249718448370572e-05; AVG: 1.06059013822337462173e-04
    * MAX: 1.36104030913575257955e-04; MIN: 1.11022302462515654042e-16; AVG: 9.61620343672575233326e-09
    * MAX: 2.82308953153953545723e-04; MIN: 2.03454284673609819833e-04; AVG: 2.37682914498640570147e-04
    * MAX: 1.11744938013913497343e-06; MIN: 8.46301344226141338822e-07; AVG: 9.60279718677302211727e-07
